origin,destination,document_url
ALG,AMM,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
ALG,ATH,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
ALG,BCN,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
ALG,BEY,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
ALG,CAI,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
ALG,CMN,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
ALG,FCO,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
ALG,IST,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
ALG,LIS,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
ALG,MAD,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
ALG,MLA,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
ALG,MRS,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
ALG,NKC,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
ALG,TLV,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
ALG,TUN,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
ALG,TIP,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
ALG,VLC,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
ALG,BKK,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
ALG,BOM,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
ALG,DXB,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
ALG,JED,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
ALG,PUS,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
ALG,HKG,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
AMM,ALG,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
AMM,ATH,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
AMM,BCN,https://drive.google.com/file/d/1hGlm5WnL9CPE9sgvlbodCK6d1JWC3YPh/view?usp=drive_link
