origin,destination,regime
ALG,AMM,WCO
ALG,ATH,WCO
ALG,BCN,WCO
ALG,BEY,WCO
ALG,CAI,WCO
ALG,CMN,WCO
ALG,FCO,WCO
ALG,IST,WCO
ALG,LIS,WCO
ALG,MAD,WCO
ALG,MLA,WCO
ALG,MRS,WCO
ALG,NKC,WCO
ALG,TLV,WCO
ALG,TUN,WCO
ALG,TIP,WCO
ALG,VLC,WCO
ALG,BKK,WCO
ALG,BOM,WCO
ALG,DXB,WCO
ALG,JED,WCO
ALG,PUS,WCO
ALG,HKG,WCO
ALG,MLA,WCO
ALG,TIA,WCO
ALG,AMS,WCO
AMM,ALG,WCO
AMM,ATH,WCO
AMM,BCN,WCO
AMM,BEY,WCO
AMM,CAI,WCO
AMM,CMN,WCO
AMM,FCO,WCO
AMM,IST,WCO
AMM,LIS,WCO
AMM,MAD,WCO
AMM,MLA,WCO
AMM,MRS,WCO
AMM,NKC,WCO
AMM,TLV,WCO
AMM,TUN,WCO
AMM,TIP,WCO
AMM,VLC,WCO
AMM,BKK,WCO
AMM,BOM,WCO
AMM,DXB,WCO
AMM,JED,WCO
AMM,PUS,WCO
AMM,HKG,WCO
AMM,MLA,WCO
AMM,TIA,WCO
AMM,AMS,WCO
ATH,ALG,WCO
ATH,AMM,WCO
ATH,BCN,SCHENGEN
ATH,BEY,WCO
ATH,CAI,WCO
ATH,CMN,WCO
ATH,FCO,SCHENGEN
ATH,IST,WCO
ATH,LIS,SCHENGEN
ATH,MAD,SCHENGEN
ATH,MLA,SCHENGEN
ATH,MRS,SCHENGEN
ATH,NKC,WCO
ATH,TLV,WCO
ATH,TUN,WCO
ATH,TIP,WCO
ATH,VLC,WCO
ATH,BKK,WCO
ATH,BOM,WCO
ATH,DXB,WCO
ATH,JED,WCO
ATH,PUS,WCO
ATH,HKG,WCO
ATH,MLA,SCHENGEN
ATH,TIA,SCHENGEN
ATH,AMS,SCHENGEN
BCN,ALG,WCO
BCN,AMM,WCO
BCN,ATH,SCHENGEN
BCN,BEY,WCO
BCN,CAI,WCO
BCN,CMN,WCO
BCN,FCO,SCHENGEN
BCN,IST,WCO
BCN,LIS,WCO
BCN,MAD,SCHENGEN
BCN,MLA,SCHENGEN
BCN,MRS,SCHENGEN
BCN,NKC,WCO
BCN,TLV,WCO
BCN,TUN,WCO
BCN,TIP,WCO
BCN,VLC,WCO
BCN,BKK,WCO
BCN,BOM,WCO
BCN,DXB,WCO
BCN,JED,WCO
BCN,PUS,WCO
BCN,HKG,WCO
BCN,MLA,SCHENGEN
BCN,TIA,SCHENGEN
BCN,AMS,SCHENGEN
BEY,ALG,WCO
BEY,AMM,WCO
BEY,ATH,WCO
BEY,BCN,WCO
BEY,CAI,WCO
BEY,CMN,WCO
BEY,FCO,WCO
BEY,IST,WCO
BEY,LIS,WCO
BEY,MAD,WCO
BEY,MLA,WCO
BEY,MRS,WCO
BEY,NKC,WCO
BEY,TLV,WCO
BEY,TUN,WCO
BEY,TIP,WCO
BEY,VLC,WCO
BEY,BKK,WCO
BEY,BOM,WCO
BEY,DXB,WCO
BEY,JED,WCO
BEY,PUS,WCO
BEY,HKG,WCO
BEY,MLA,WCO
BEY,TIA,WCO
BEY,AMS,WCO
CAI,ALG,WCO
CAI,AMM,WCO
CAI,ATH,WCO
CAI,BCN,WCO
CAI,BEY,WCO
CAI,CMN,WCO
CAI,FCO,WCO
CAI,IST,WCO
CAI,LIS,WCO
CAI,MAD,WCO
CAI,MLA,WCO
CAI,MRS,WCO
CAI,NKC,AFCFTA
CAI,TLV,WCO
CAI,TUN,AFCFTA
CAI,TIP,WCO
CAI,VLC,WCO
CAI,BKK,WCO
CAI,BOM,WCO
CAI,DXB,WCO
CAI,JED,WCO
CAI,PUS,WCO
CAI,HKG,WCO
CAI,MLA,WCO
CAI,TIA,WCO
CAI,AMS,WCO
CMN,ALG,WCO
CMN,AMM,WCO
CMN,ATH,WCO
CMN,BCN,WCO
CMN,BEY,WCO
CMN,CAI,WCO
CMN,FCO,WCO
CMN,IST,WCO
CMN,LIS,WCO
CMN,MAD,WCO
CMN,MLA,WCO
CMN,MRS,WCO
CMN,NKC,WCO
CMN,TLV,WCO
CMN,TUN,WCO
CMN,TIP,WCO
CMN,VLC,WCO
CMN,BKK,WCO
CMN,BOM,WCO
CMN,DXB,WCO
CMN,JED,WCO
CMN,PUS,WCO
CMN,HKG,WCO
CMN,MLA,WCO
CMN,TIA,WCO
CMN,AMS,WCO
FCO,ALG,WCO
FCO,AMM,WCO
FCO,ATH,SCHENGEN
FCO,BCN,SCHENGEN
FCO,BEY,WCO
FCO,CAI,WCO
FCO,CMN,WCO
FCO,IST,WCO
FCO,LIS,SCHENGEN
