origin,destination,km
BCN,MAD,615.0
BCN,ALG,520.0
BCN,CAI,2898.0
BCN,TLV,3069.0
BCN,AMM,3173.0
BCN,BEY,3037.0
BCN,NKC,3105.0
BCN,CMN,1222.0
BCN,TUN,858.0
BCN,MRS,340.0
BCN,ATH,1882.0
BCN,FCO,840.0
BCN,VLC,350.0
BCN,LIS,1007.0
BCN,IST,2239.0
BCN,BKK,9673.0
BCN,BOM,7017.0
BCN,DXB,5162.0
BCN,JED,4095.0
BCN,PUS,9931.0
BCN,HKG,10067.0
BCN,MLA,1233.52
BCN,TIA,1473.81
BCN,MJI,1361.85
BCN,MCT,5532.0
BCN,LGG,1070.0
BCN,AMS,1241.0
BCN,FRA,1094.0
BCN,LHR,1147.28
BCN,TDG,1429.07
BCN,LUX,979.64
MAD,BCN,615.0
MAD,ALG,714.0
MAD,CAI,3356.0
MAD,TLV,3550.0
MAD,AMM,3655.0
MAD,BEY,3527.0
MAD,NKC,2739.0
MAD,CMN,833.0
MAD,TUN,1270.0
MAD,MRS,819.0
MAD,ATH,2374.0
MAD,FCO,1345.0
MAD,VLC,361.0
MAD,LIS,503.0
MAD,IST,2744.0
MAD,BKK,10175.0
MAD,BOM,7533.0
MAD,DXB,5655.0
MAD,JED,5043.0
MAD,PUS,10325.0
MAD,HKG,12927.0
MAD,MLA,1656.42
MAD,TIA,1957.5
MAD,MJI,1719.77
MAD,MCT,6007.0
MAD,LGG,1329.0
MAD,AMS,1461.0
MAD,FRA,1423.0
MAD,LHR,1245.65
MAD,TDG,1913.07
MAD,LUX,1273.03
ALG,BCN,520.0
ALG,MAD,714.0
ALG,CAI,2716.0
ALG,TLV,2949.0
ALG,AMM,3058.0
ALG,BEY,2954.0
ALG,NKC,2781.0
ALG,CMN,1032.0
ALG,TUN,636.0
ALG,MRS,754.0
ALG,ATH,1833.0
ALG,FCO,968.0
ALG,VLC,425.0
ALG,LIS,1094.0
ALG,IST,2288.0
ALG,BKK,9737.0
ALG,BOM,6988.0
ALG,DXB,5077.0
ALG,JED,2360.0
ALG,PUS,10266.0
ALG,HKG,10251.0
ALG,MLA,991.28
ALG,TIA,1518.94
ALG,MJI,1011.77
ALG,MCT,5425.0
ALG,LGG,1560.0
ALG,AMS,1740.0
ALG,FRA,1544.0
ALG,LHR,1667.7
ALG,TDG,1512.46
ALG,LUX,1456.83
CAI,BCN,2898.0
CAI,MAD,3356.0
CAI,ALG,2716.0
CAI,TLV,402.0
CAI,AMM,495.0
CAI,BEY,584.0
CAI,NKC,4942.0
CAI,CMN,3679.0
CAI,TUN,2093.0
CAI,MRS,2722.0
CAI,ATH,1119.0
CAI,FCO,2144.0
CAI,VLC,3126.0
CAI,LIS,3803.0
CAI,IST,1233.0
CAI,BKK,7264.0
CAI,BOM,4358.0
CAI,DXB,2430.0
CAI,JED,1351.0
CAI,PUS,8776.0
CAI,HKG,8130.0
CAI,MLA,1511.39
CAI,TIA,1635.82
CAI,MJI,1747.12
CAI,MCT,2760.0
CAI,LGG,3138.0
CAI,AMS,3289.0
CAI,FRA,2922.0
CAI,LHR,3535.0
CAI,TDG,1738.97
CAI,LUX,3027.53
TLV,BCN,3069.0
TLV,MAD,3550.0
TLV,ALG,2949.0
TLV,CAI,402.0
TLV,AMM,112.0
TLV,BEY,213.0
TLV,NKC,5294.0
TLV,CMN,3944.0
TLV,TUN,2315.0
TLV,MRS,2856.0
TLV,ATH,1202.0
TLV,FCO,2269.0
TLV,VLC,3253.0
TLV,LIS,4017.0
TLV,IST,1121.0
TLV,BKK,6924.0
TLV,BOM,4082.0
TLV,DXB,2136.0
TLV,JED,1050.0
TLV,PUS,8371.0
TLV,HKG,7747.0
TLV,MLA,1928.67
TLV,TIA,1705.9
TLV,MJI,2030.78
TLV,MCT,2480.0
TLV,LGG,3181.0
TLV,AMS,3315.0
TLV,FRA,2955.0
TLV,LHR,3592.63
TLV,TDG,1796.54
TLV,LUX,3078.59
AMM,BCN,3173.0
AMM,MAD,3655.0
AMM,ALG,3058.0
AMM,CAI,495.0
AMM,TLV,112.0
AMM,BEY,219.0
AMM,NKC,5404.0
AMM,CMN,4055.0
AMM,TUN,2423.0
AMM,MRS,2955.0
AMM,ATH,1300.0
AMM,FCO,2368.0
AMM,VLC,4962.0
AMM,LIS,4124.0
AMM,IST,1184.0
AMM,BKK,6817.0
AMM,BOM,3927.0
AMM,DXB,1980.0
AMM,JED,1175.0
AMM,PUS,8277.0
AMM,HKG,10172.0
AMM,MLA,2032.15
AMM,TIA,2093.62
AMM,MJI,2031.56
