service,seq,origin,destination,km,speed_kmh,flight_seconds,ground_seconds,bound,flight_number,departure_offset_seconds,arrival_offset_seconds
EASTMED,1,BCN,FCO,840,945.0,3200,5863,EAST BOUND,Z9210,5863,9063
EASTMED,2,FCO,MLA,688.93,945.0,2624,5863,NORTH BOUND,Z9210,14926,17550
EASTMED,3,MLA,ATH,873.47,945.0,3328,5863,NORTH BOUND,Z9210,23413,26741
EASTMED,4,ATH,TIA,524.61,945.0,1999,5863,EAST BOUND,Z9210,32604,34603
EASTMED,5,TIA,IST,758.42,945.0,2889,5863,EAST BOUND,Z9210,40466,43355
EASTMED,6,IST,AMM,1184,945.0,4510,5863,EAST BOUND,Z9210,49218,53728
EASTMED,7,AMM,CAI,495,945.0,1886,5863,EAST BOUND,Z9210,59591,61477
EASTMED,8,CAI,FCO,2144,945.0,8168,5863,EAST BOUND,Z9210,67340,75508
EASTMED,9,FCO,BCN,840,945.0,3200,7692,EAST BOUND,Z9210,83200,86400
WEST AFRICA,1,BCN,MAD,615,500.0,4428,8100,WEST BOUND,Z9108,8100,12528
WEST AFRICA,2,MAD,CMN,833,500,5998,8100,SOUTH BOUND,Z9108,20628,26626
WEST AFRICA,3,CMN,NKC,1907,500,13730,8100,SOUTH BOUND,Z9108,34726,48456
WEST AFRICA,4,NKC,CMN,1907,500,13730,8100,NORTH BOUND,Z9108,56556,70286
WEST AFRICA,5,CMN,MAD,833,500,5998,8100,NORTH BOUND,Z9108,78386,84384
WEST AFRICA,6,MAD,BCN,615,500,4428,8100,EAST BOUND,Z9108,92484,96912
WESTMED,1,BCN,ALG,520,500,3744,8100,SOUTH BOUND,Z9109,8100,11844
WESTMED,2,ALG,TUN,636,500,4579,8100,SOUTH BOUND,Z9109,19944,24523
WESTMED,3,TUN,MRS,827,500,5954,8100,NORTH BOUND,Z9109,32623,38577
WESTMED,4,MRS,LIS,1320,500,9504,8100,NORTH BOUND,Z9109,46677,56181
WESTMED,5,LIS,BCN,1007,500,7250,12456,NORTH BOUND,Z9109,68637,75887
RED SEA,1,AMM,BEY,219,60.0,13140,13337,NORTH BOUND,Z9112,13337,26477
RED SEA,2,BEY,AMM,219,60.0,13140,10003,SOUTH BOUND,Z9112,36480,49620
RED SEA,3,AMM,TLV,112,60.0,6720,13337,SOUTH BOUND,Z9114,62957,69677
RED SEA,4,TLV,AMM,112,60.0,6720,10003,NORTH BOUND,Z9114,79680,86400
AZAHAR,1,VLC,BCN,350,750.0,1680,15756,NORTH BOUND,Z9116,15756,17436
AZAHAR,2,BCN,AMS,1241,750.0,5957,15756,NORTH BOUND,Z9116,33192,39149
AZAHAR,3,AMS,BCN,1241,750.0,5957,15756,SOUTH BOUND,Z9116,54905,60862
AZAHAR,4,BCN,VLC,350,750.0,1680,23859,SOUTH BOUND,Z9116,84721,86401
ASIA,1,BCN,JED,4095.0,900.0,16380,11599,EAST BOUND,Z9212,11599,27979
ASIA,2,JED,DXB,1693.0,900.0,6772,11599,EAST BOUND,Z9212,39578,46350
ASIA,3,DXB,BOM,1950.0,900.0,7800,11599,EAST BOUND,Z9212,57949,65749
ASIA,4,BOM,BKK,2980.0,900.0,11920,11599,EAST BOUND,Z9212,77348,89268
ASIA,5,BKK,HKG,1721.0,900.0,6884,11599,EAST BOUND,Z9212,100867,107751
ASIA,6,HKG,PUS,2029.0,900.0,8116,11599,EAST BOUND,Z9212,119350,127466
ASIA,7,PUS,HKG,2029.0,900.0,8116,11599,WEST BOUND,Z9212,139065,147181
ASIA,8,HKG,BKK,1721.0,900.0,6884,11599,WEST BOUND,Z9212,158780,165664
ASIA,9,BKK,BOM,2980.0,900.0,11920,11599,WEST BOUND,Z9212,177263,189183
ASIA,10,BOM,DXB,1950.0,900.0,7800,11599,WEST BOUND,Z9212,200782,208582
ASIA,11,DXB,JED,1693.0,900.0,6772,11599,WEST BOUND,Z9212,220181,226953
ASIA,12,JED,BCN,5162.0,900.0,20648,11599,WEST BOUND,Z9212,238552,259200
