origin,destination,min_charge,rate_under_100,rate_100_299,rate_300_499,rate_500_plus,fsc_per_kg,ssc_per_kg,transit_days,notes
*,ALG,105,5.8,5.15,5.0,4.75,0.35,0.1,2,tarifa por defecto a este destino
*,AMM,65,4.15,3.65,3.17,3.0,0.35,0.1,2,tarifa por defecto a este destino
*,AMS,40,3.5,2.1,1.8,1.6,0.35,0.1,2,tarifa por defecto a este destino
*,ATH,30,4.0,2.2,2.2,2.2,0.35,0.1,2,tarifa por defecto a este destino
*,BCN,40,4.32,2.1,2.0,1.85,0.35,0.1,2,tarifa por defecto a este destino
*,BEY,55,5.75,1.9,1.9,1.9,0.35,0.1,2,tarifa por defecto a este destino
*,BKK,40,3.5,2.5,2.0,1.9,0.35,0.1,3,tarifa por defecto a este destino
*,BOM,49,3.25,1.35,1.35,1.35,0.35,0.1,3,tarifa por defecto a este destino
*,CAI,60,4.05,3.45,3.0,2.78,0.35,0.1,2,tarifa por defecto a este destino
*,CMN,70,4.5,4.0,3.7,3.6,0.35,0.1,2,tarifa por defecto a este destino
*,DXB,40,2.7,2.35,2.05,1.85,0.35,0.1,3,tarifa por defecto a este destino
*,FCO,60,4.2,3.0,3.0,3.0,0.35,0.1,2,tarifa por defecto a este destino
*,HKG,40,3.5,2.1,1.8,1.6,0.35,0.1,3,tarifa por defecto a este destino
*,IST,75,6.53,4.5,3.6,3.38,0.35,0.1,2,tarifa por defecto a este destino
*,JED,40,2.7,2.5,2.25,2.1,0.35,0.1,3,tarifa por defecto a este destino
*,LIS,45,9.45,3.0,3.0,3.0,0.35,0.1,2,tarifa por defecto a este destino
*,MAD,45,5.55,2.6,2.6,2.1,0.35,0.1,2,tarifa por defecto a este destino
*,MLA,37,7.0,3.3,3.15,2.89,0.35,0.1,2,tarifa por defecto a este destino
*,MRS,60,4.8,3.0,3.0,2.5,0.35,0.1,2,tarifa por defecto a este destino
*,NKC,105,6.75,6.0,6.0,5.5,0.35,0.1,3,tarifa por defecto a este destino
*,PUS,40,3.5,2.1,1.8,1.6,0.35,0.1,3,tarifa por defecto a este destino
*,TIA,40,3.5,2.1,1.8,1.6,0.35,0.1,2,tarifa por defecto a este destino
*,TIP,100,5.9,2.6,2.15,2.0,0.35,0.1,2,tarifa por defecto a este destino
*,TLV,125,7.0,6.15,6.0,5.5,0.35,0.1,2,tarifa por defecto a este destino
*,TUN,60,4.8,3.0,3.0,2.5,0.35,0.1,2,tarifa por defecto a este destino
*,VLC,56,6.5,3.25,3.25,2.63,0.35,0.1,2,tarifa por defecto a este destino
BCN,CAI,55,3.95,3.3,2.9,2.6,0.35,0.1,1,acuerdo directo BCN-CAI (override de ejemplo)
