origin,destination,minimum,rate_under_100,rate_100_299,rate_300_499,rate_500_plus
ALG,AMM,65.0,4.15,3.65,3.17,3.0
ALG,ATH,30.0,4.0,2.2,2.2,2.2
ALG,BCN,40.0,4.32,2.1,2.0,1.85
ALG,BEY,55.0,5.75,1.9,1.9,1.9
ALG,CAI,60.0,4.05,3.45,3.0,2.78
ALG,CMN,70.0,4.5,4.0,3.7,3.6
ALG,FCO,60.0,4.2,3.0,3.0,3.0
ALG,IST,75.0,6.53,4.5,3.6,3.38
ALG,LIS,45.0,9.45,3.0,3.0,3.0
ALG,MAD,45.0,5.55,2.6,2.6,2.1
ALG,MLA,37.0,7.0,3.3,3.15,2.89
ALG,MRS,60.0,4.8,3.0,3.0,2.5
ALG,NKC,105.0,6.75,6.0,6.0,5.5
ALG,TLV,125.0,7.0,6.15,6.0,5.5
ALG,TUN,60.0,4.8,3.0,3.0,2.5
ALG,TIP,100.0,5.9,2.6,2.15,2.0
ALG,VLC,56.0,6.5,3.25,3.25,2.63
ALG,BKK,40.0,3.5,2.5,2.0,1.9
ALG,DXB,40.0,2.7,2.35,2.05,1.85
ALG,BOM,49.0,3.25,1.35,1.35,1.35
ALG,JED,40.0,2.7,2.5,2.25,2.1
ALG,PUS,40.0,3.5,2.1,1.8,1.6
ALG,HKG,40.0,3.5,2.1,1.8,1.6
ALG,TIA,40.0,3.5,2.1,1.8,1.6
ALG,AMS,40.0,3.5,2.1,1.8,1.6
AMM,ALG,105.0,5.8,5.15,5.0,4.75
AMM,ATH,30.0,4.0,2.2,2.2,2.2
AMM,BCN,40.0,4.32,2.1,2.0,1.85
AMM,BEY,55.0,5.75,1.9,1.9,1.9
AMM,CAI,60.0,4.05,3.45,3.0,2.78
AMM,CMN,70.0,4.5,4.0,3.7,3.6
AMM,FCO,60.0,4.2,3.0,3.0,3.0
AMM,IST,75.0,6.53,4.5,3.6,3.38
AMM,LIS,45.0,9.45,3.0,3.0,3.0
AMM,MAD,45.0,5.55,2.6,2.6,2.1
AMM,MLA,37.0,7.0,3.3,3.15,2.89
AMM,MRS,60.0,4.8,3.0,3.0,2.5
AMM,NKC,105.0,6.75,6.0,6.0,5.5
AMM,TLV,125.0,7.0,6.15,6.0,5.5
AMM,TUN,60.0,4.8,3.0,3.0,2.5
AMM,TIP,100.0,5.9,2.6,2.15,2.0
AMM,VLC,56.0,6.5,3.25,3.25,2.63
AMM,BKK,40.0,3.5,2.5,2.0,1.9
AMM,DXB,40.0,2.7,2.35,2.05,1.85
AMM,BOM,49.0,3.25,1.35,1.35,1.35
AMM,JED,40.0,2.7,2.5,2.25,2.1
AMM,PUS,40.0,3.5,2.1,1.8,1.6
AMM,HKG,40.0,3.5,2.1,1.8,1.6
AMM,TIA,40.0,3.5,2.1,1.8,1.6
AMM,AMS,40.0,3.5,2.1,1.8,1.6
ATH,ALG,105.0,5.8,5.15,5.0,4.75
ATH,AMM,65.0,4.15,3.65,3.17,3.0
ATH,BCN,40.0,4.32,2.1,2.0,1.85
ATH,BEY,55.0,5.75,1.9,1.9,1.9
ATH,CAI,60.0,4.05,3.45,3.0,2.78
ATH,CMN,70.0,4.5,4.0,3.7,3.6
ATH,FCO,60.0,4.2,3.0,3.0,3.0
ATH,IST,75.0,6.53,4.5,3.6,3.38
ATH,LIS,45.0,9.45,3.0,3.0,3.0
ATH,MAD,45.0,5.55,2.6,2.6,2.1
ATH,MLA,37.0,7.0,3.3,3.15,2.89
ATH,MRS,60.0,4.8,3.0,3.0,2.5
ATH,NKC,105.0,6.75,6.0,6.0,5.5
ATH,TLV,125.0,7.0,6.15,6.0,5.5
ATH,TUN,60.0,4.8,3.0,3.0,2.5
ATH,TIP,100.0,5.9,2.6,2.15,2.0
ATH,VLC,56.0,6.5,3.25,3.25,2.63
ATH,BKK,40.0,3.5,2.5,2.0,1.9
ATH,DXB,40.0,2.7,2.35,2.05,1.85
ATH,BOM,49.0,3.25,1.35,1.35,1.35
ATH,JED,40.0,2.7,2.5,2.25,2.1
ATH,PUS,40.0,3.5,2.1,1.8,1.6
ATH,HKG,40.0,3.5,2.1,1.8,1.6
ATH,TIA,40.0,3.5,2.1,1.8,1.6
ATH,AMS,40.0,3.5,2.1,1.8,1.6
BCN,ALG,105.0,5.8,5.15,5.0,4.75
BCN,AMM,65.0,4.15,3.65,3.17,3.0
BCN,ATH,30.0,4.0,2.2,2.2,2.2
BCN,BEY,55.0,5.75,1.9,1.9,1.9
BCN,CAI,60.0,4.05,3.45,3.0,2.78
BCN,CMN,70.0,4.5,4.0,3.7,3.6
BCN,FCO,60.0,4.2,3.0,3.0,3.0
BCN,IST,75.0,6.53,4.5,3.6,3.38
BCN,LIS,45.0,9.45,3.0,3.0,3.0
BCN,MAD,45.0,5.55,2.6,2.6,2.1
BCN,MLA,37.0,7.0,3.3,3.15,2.89
BCN,MRS,60.0,4.8,3.0,3.0,2.5
BCN,NKC,105.0,6.75,6.0,6.0,5.5
BCN,TLV,125.0,7.0,6.15,6.0,5.5
BCN,TUN,60.0,4.8,3.0,3.0,2.5
BCN,TIP,100.0,5.9,2.6,2.15,2.0
BCN,VLC,56.0,6.5,3.25,3.25,2.63
BCN,BKK,40.0,3.5,2.5,2.0,1.9
BCN,DXB,40.0,2.7,2.35,2.05,1.85
BCN,BOM,49.0,3.25,1.35,1.35,1.35
BCN,JED,40.0,2.7,2.5,2.25,2.1
BCN,PUS,40.0,3.5,2.1,1.8,1.6
BCN,HKG,40.0,3.5,2.1,1.8,1.6
BCN,TIA,40.0,3.5,2.1,1.8,1.6
BCN,AMS,40.0,3.5,2.1,1.8,1.6
BEY,ALG,105.0,5.8,5.15,5.0,4.75
BEY,AMM,65.0,4.15,3.65,3.17,3.0
BEY,ATH,30.0,4.0,2.2,2.2,2.2
BEY,BCN,40.0,4.32,2.1,2.0,1.85
BEY,CAI,60.0,4.05,3.45,3.0,2.78
BEY,CMN,70.0,4.5,4.0,3.7,3.6
BEY,FCO,60.0,4.2,3.0,3.0,3.0
BEY,IST,75.0,6.53,4.5,3.6,3.38
BEY,LIS,45.0,9.45,3.0,3.0,3.0
BEY,MAD,45.0,5.55,2.6,2.6,2.1
BEY,MLA,37.0,7.0,3.3,3.15,2.89
BEY,MRS,60.0,4.8,3.0,3.0,2.5
BEY,NKC,105.0,6.75,6.0,6.0,5.5
