code,currency,sec_min,sec_rate,cus_min,cus_rate,truck_bulk_min,truck_bulk_fee_mawb,truck_bulk_rate,truck_uld_min,truck_uld_fee,thc_gen_min,thc_gen_rate,thc_dg_min,thc_dg_rate,thc_pha_min,thc_pha_rate,st_gen_mawb_fee,st_gen_rate_1_20,st_gen_rate_21plus,st_gen_free_days,st_cool_mawb_fee,st_cool_rate_1_20,st_cool_rate_21plus,st_cool_free_days,st_dg_mawb_fee,st_dg_rate_1_20,st_dg_rate_21plus,st_dg_free_days,imp_doc_min,imp_doc_fee
ALG,EUR,28.0,0.13,36.4,0.07,45.0,40.0,0.06,0.0,36.4,1.05,0.03,1.5,0.033,1.5,0.033,36.4,7.7,18.9,5.0,39.0,16.0,26.0,4.0,39.0,9.0,18.7,6.0,0.0,38.0
AMM,EUR,28.01,0.14,36.41,0.08,45.01,40.01,0.07,0.0,36.41,1.06,0.031,1.51,0.034,1.51,0.034,39.4,10.7,21.9,5.0,42.0,19.0,29.0,4.0,42.0,12.0,21.7,6.0,0.0,38.0
AMS,EUR,28.23,0.36,36.63,0.3,45.23,40.23,0.29,0.0,36.63,1.28,0.053,1.73,0.056,1.73,0.056,47.4,18.7,29.9,5.0,50.0,27.0,37.0,4.0,50.0,20.0,29.7,6.0,0.0,38.0
ATH,EUR,28.02,0.15,36.42,0.09,45.02,40.02,0.08,0.0,36.42,1.07,0.032,1.52,0.035,1.52,0.035,42.4,13.7,24.9,5.0,45.0,22.0,32.0,4.0,45.0,15.0,24.7,6.0,0.0,38.0
BCN,EUR,28.03,0.16,36.43,0.1,45.03,40.03,0.09,0.0,36.43,1.08,0.033,1.53,0.036,1.53,0.036,45.4,16.7,27.9,5.0,48.0,25.0,35.0,4.0,48.0,18.0,27.7,6.0,0.0,38.0
BEY,EUR,28.04,0.17,36.44,0.11,45.04,40.04,0.1,0.0,36.44,1.09,0.034,1.54,0.037,1.54,0.037,48.4,19.7,30.9,5.0,51.0,28.0,38.0,4.0,51.0,21.0,30.7,6.0,0.0,38.0
BKK,EUR,28.18,0.31,36.58,0.25,45.18,40.18,0.24,0.0,36.58,1.23,0.048,1.68,0.051,1.68,0.051,46.4,17.7,28.9,5.0,49.0,26.0,36.0,4.0,49.0,19.0,28.7,6.0,0.0,38.0
BOM,EUR,28.19,0.32,36.59,0.26,45.19,40.19,0.25,0.0,36.59,1.24,0.049,1.69,0.052,1.69,0.052,44.4,15.7,26.9,5.0,47.0,24.0,34.0,4.0,47.0,17.0,26.7,6.0,0.0,38.0
CAI,EUR,28.05,0.18,36.45,0.12,45.05,40.05,0.11,0.0,36.45,1.1,0.035,1.55,0.038,1.55,0.038,37.4,8.7,19.9,5.0,40.0,17.0,27.0,4.0,40.0,10.0,19.7,6.0,0.0,38.0
CMN,EUR,28.06,0.19,36.46,0.13,45.06,40.06,0.12,0.0,36.46,1.11,0.036,1.56,0.039,1.56,0.039,40.4,11.7,22.9,5.0,43.0,20.0,30.0,4.0,43.0,13.0,22.7,6.0,0.0,38.0
DXB,EUR,28.19,0.32,36.59,0.26,45.19,40.19,0.25,0.0,36.59,1.24,0.049,1.69,0.052,1.69,0.052,47.4,18.7,29.9,5.0,50.0,27.0,37.0,4.0,50.0,20.0,29.7,6.0,0.0,0.0
FCO,EUR,28.07,0.2,36.47,0.14,45.07,40.07,0.13,0.0,36.47,1.12,0.037,1.57,0.04,1.57,0.04,38.4,9.7,20.9,5.0,41.0,18.0,28.0,4.0,41.0,11.0,20.7,6.0,0.0,38.0
HKG,EUR,28.21,0.34,36.61,0.28,45.21,40.21,0.27,0.0,36.61,1.26,0.051,1.71,0.054,1.71,0.054,46.4,17.7,28.9,5.0,49.0,26.0,36.0,4.0,49.0,19.0,28.7,6.0,0.0,0.0
